iter	Passed	Remaining
0	160	160745
1	162	81280
2	164	54674
3	168	41855
4	170	33919
5	172	28559
6	174	24773
7	178	22148
8	180	19855
9	181	18003
10	183	16487
11	184	15227
12	186	14163
13	188	13249
14	189	12454
15	191	11785
16	193	11169
17	194	10616
18	196	10120
19	197	9656
20	198	9244
21	199	8865
22	201	8539
23	202	8226
24	203	7939
25	204	7673
26	205	7423
27	207	7186
28	208	6964
29	208	6755
30	209	6559
31	210	6375
32	212	6232
33	213	6077
34	214	5923
35	215	5776
36	216	5635
37	217	5510
38	218	5391
39	219	5271
40	220	5154
41	221	5044
42	221	4937
43	222	4835
44	223	4738
45	224	4646
46	224	4556
47	225	4471
48	226	4403
49	227	4328
50	228	4252
51	229	4179
52	229	4109
53	230	4041
54	231	3981
55	232	3918
56	233	3856
57	233	3796
58	234	3739
59	235	3683
60	235	3629
61	236	3576
62	237	3526
63	237	3476
64	238	3429
65	239	3382
66	239	3337
67	240	3292
68	240	3250
69	241	3209
70	242	3169
71	242	3130
72	243	3092
73	244	3055
74	244	3019
75	245	2987
76	246	2954
77	247	2921
78	247	2888
79	248	2857
80	249	2826
81	249	2795
82	250	2766
83	251	2738
84	251	2707
85	252	2680
86	252	2651
87	253	2625
88	253	2599
89	254	2574
90	255	2549
91	255	2525
92	256	2502
93	257	2479
94	257	2456
95	258	2434
96	259	2417
97	260	2397
98	261	2376
99	261	2356
100	262	2336
101	262	2313
102	263	2294
103	264	2275
104	264	2256
105	265	2238
106	266	2220
107	266	2202
108	267	2184
109	267	2167
110	268	2151
111	269	2134
112	269	2118
113	270	2102
114	271	2086
115	271	2070
116	272	2055
117	272	2040
118	273	2028
119	274	2014
120	275	2000
121	276	1986
122	276	1971
123	277	1957
124	277	1944
125	278	1931
126	279	1918
127	279	1904
128	280	1891
129	280	1879
130	281	1867
131	282	1855
132	282	1843
133	283	1832
134	284	1820
135	284	1809
136	285	1798
137	285	1786
138	286	1775
139	287	1768
140	288	1758
141	289	1748
142	289	1737
143	290	1727
144	291	1717
145	291	1707
146	292	1698
147	293	1688
