iter	Passed	Remaining
0	2	2172
1	5	2563
2	6	2122
3	7	1855
4	8	1682
5	9	1584
6	14	2072
7	17	2121
8	18	2035
9	19	1924
10	20	1855
11	22	1818
12	23	1769
13	24	1700
14	24	1639
15	26	1603
16	32	1871
17	33	1834
18	35	1841
19	36	1801
20	37	1761
21	38	1724
22	39	1697
23	50	2037
24	51	2006
25	52	1961
26	53	1920
27	54	1908
28	59	1984
29	62	2036
30	64	2002
31	64	1964
32	65	1931
33	67	1916
34	68	1884
35	69	1851
36	69	1819
37	70	1788
38	71	1760
39	82	1968
40	83	1950
41	84	1927
42	85	1912
43	88	1922
44	90	1910
45	91	1892
46	92	1874
47	93	1854
48	94	1834
49	95	1815
50	96	1798
51	99	1821
52	101	1819
53	102	1801
54	103	1780
55	105	1771
56	108	1803
57	110	1788
58	111	1772
59	115	1803
60	116	1800
61	118	1793
62	119	1776
63	120	1762
64	121	1746
65	122	1730
66	123	1716
67	124	1701
68	124	1685
69	125	1670
70	129	1699
71	133	1719
72	135	1723
73	136	1712
74	137	1698
75	138	1685
76	139	1671
77	140	1663
78	144	1683
79	145	1672
80	146	1662
81	147	1650
82	147	1634
83	148	1623
84	149	1613
85	150	1602
86	151	1591
87	152	1579
88	153	1568
89	157	1596
90	160	1598
91	161	1594
92	162	1584
93	163	1573
94	163	1561
95	166	1567
96	168	1564
97	169	1555
98	171	1557
99	173	1563
100	174	1555
101	175	1547
102	176	1540
103	177	1532
104	178	1525
105	180	1520
106	181	1517
107	182	1509
108	184	1511
109	186	1512
110	188	1507
111	189	1499
112	189	1491
113	190	1482
114	191	1473
115	192	1465
116	193	1457
117	195	1460
118	196	1457
119	201	1477
120	202	1473
121	203	1464
122	204	1460
123	206	1460
124	207	1453
125	208	1447
126	209	1439
127	210	1432
128	211	1426
129	212	1419
130	214	1422
131	215	1418
132	216	1412
133	221	1428
134	222	1422
135	222	1415
136	223	1409
137	224	1403
138	225	1396
139	229	1411
140	230	1406
141	231	1399
142	232	1393
143	233	1387
144	234	1382
145	235	1375
146	236	1369
147	236	1364
148	237	1358
149	238	1351
150	239	1346
151	242	1351
152	243	1347
153	244	1342
154	245	1336
155	246	1331
156	247	1329
157	249	1328
158	250	1323
159	251	1322
160	254	1324
161	255	1322
162	256	1317
163	257	1313
164	258	1308
165	259	1303
166	260	1297
167	261	1293
168	263	1296
169	264	1292
170	269	1304
171	270	1301
172	271	1296
173	272	1291
174	272	1286
175	273	1282
176	275	1280
177	276	1276
178	277	1272
179	278	1267
180	279	1263
181	283	1272
182	284	1269
183	285	1264
184	285	1259
185	291	1274
186	292	1273
187	294	1271
188	299	1283
189	300	1279
190	301	1276
191	302	1274
192	304	1274
193	305	1271
194	307	1267
195	308	1263
196	309	1259
197	312	1266
198	313	1262
199	314	1258
200	315	1253
201	317	1253
202	318	1252
203	320	1250
204	321	1246
205	322	1241
206	323	1237
207	325	1241
208	329	1245
209	330	1241
210	331	1239
211	332	1236
212	333	1232
213	334	1228
214	335	1224
215	336	1221
216	339	1224
217	340	1222
218	344	1228
219	347	1232
220	348	1228
221	349	1224
222	350	1221
223	351	1218
224	355	1223
225	358	1226
226	358	1222
227	360	1220
228	361	1217
229	362	1213
230	363	1210
231	364	1206
232	365	1203
233	366	1199
234	370	1206
235	371	1203
236	372	1200
237	373	1197
238	375	1194
239	376	1190
240	377	1188
241	379	1190
242	381	1187
243	382	1183
244	383	1180
245	383	1176
246	384	1173
247	385	1169
248	386	1166
249	389	1167
250	392	1172
251	394	1170
252	395	1167
253	396	1165
254	399	1167
255	400	1164
256	401	1160
257	402	1157
258	406	1164
259	408	1161
260	409	1158
261	410	1156
262	412	1155
263	413	1152
264	414	1149
265	415	1145
266	416	1143
267	421	1150
268	422	1148
269	423	1144
270	424	1141
271	425	1137
272	426	1134
273	426	1131
274	428	1128
275	434	1140
276	437	1141
277	438	1138
278	439	1134
279	439	1130
280	441	1129
281	443	1128
282	444	1125
283	445	1122
284	446	1118
285	448	1119
286	451	1121
287	453	1121
288	454	1119
289	455	1115
290	456	1112
291	457	1108
292	458	1105
293	459	1103
294	460	1100
295	465	1107
296	467	1105
297	467	1102
298	468	1098
299	469	1095
300	470	1093
301	471	1089
302	472	1086
303	472	1082
304	473	1079
305	474	1075
306	479	1082
307	480	1080
308	481	1077
309	482	1074
310	483	1070
311	484	1067
312	485	1065
313	486	1062
314	486	1058
315	487	1055
316	488	1052
317	489	1049
318	493	1053
319	494	1051
320	495	1048
321	496	1045
322	497	1042
323	498	1039
324	499	1036
325	499	1033
326	500	1029
327	501	1026
328	501	1023
329	502	1020
330	503	1018
331	509	1024
332	510	1021
333	510	1018
334	511	1015
335	512	1012
336	513	1010
337	514	1007
338	515	1004
339	516	1002
340	516	999
341	517	995
342	519	995
343	523	997
344	524	995
345	525	992
346	525	989
347	526	986
348	527	984
349	529	983
350	530	981
351	531	979
352	539	988
353	540	986
354	541	984
355	543	984
356	545	981
357	546	979
358	546	976
359	555	988
360	557	986
361	560	987
362	561	985
363	562	983
364	570	993
365	572	991
366	573	989
367	575	988
368	576	986
369	577	983
370	585	992
371	586	990
372	587	988
373	590	987
374	591	985
375	592	983
376	593	980
377	602	991
378	605	992
379	609	994
380	610	992
381	612	990
382	615	990
383	621	997
384	623	995
385	625	994
386	626	992
387	629	992
388	634	996
389	636	994
390	637	992
391	638	989
392	639	987
393	640	985
394	667	1022
395	671	1024
396	673	1023
397	675	1021
398	677	1020
399	684	1027
400	686	1025
401	692	1030
402	694	1028
403	700	1033
404	701	1030
405	707	1035
406	715	1042
407	716	1040
408	723	1044
409	724	1042
410	725	1039
411	726	1036
412	740	1053
413	742	1050
414	745	1050
415	746	1047
416	747	1045
417	748	1042
418	750	1039
419	753	1040
420	754	1037
421	755	1034
422	755	1031
423	756	1028
424	758	1026
425	759	1023
426	760	1020
427	761	1017
428	762	1014
429	763	1011
430	768	1014
431	769	1011
432	769	1008
433	770	1004
434	771	1001
435	771	998
436	773	996
437	774	993
438	775	990
439	776	987
440	777	984
441	777	982
442	782	984
443	784	981
444	785	979
445	786	977
446	788	975
447	789	972
448	789	969
449	790	966
450	791	963
451	792	961
452	796	961
453	798	959
454	798	956
455	799	953
456	800	950
457	801	948
458	803	946
459	803	943
460	804	940
461	805	938
462	806	935
463	807	932
464	812	935
465	815	934
466	816	931
467	818	930
468	819	927
469	820	924
470	820	921
471	821	919
472	825	919
473	826	917
474	827	914
475	828	911
476	828	908
477	829	905
478	830	903
479	830	900
480	832	898
481	833	896
482	834	893
483	835	890
484	836	887
485	837	885
486	841	886
487	842	884
488	843	881
489	844	878
490	844	875
491	846	874
492	847	871
493	848	869
494	849	866
495	850	864
496	851	861
497	855	862
498	856	860
499	857	857
500	858	854
501	858	851
502	859	849
503	861	847
504	862	845
505	863	842
506	863	840
507	864	837
508	866	835
509	868	834
510	869	831
511	869	829
512	870	826
513	871	823
514	872	821
515	873	819
516	874	817
517	875	814
518	876	812
519	877	810
520	880	809
521	883	808
522	886	808
523	887	806
524	888	803
525	889	801
526	890	798
527	890	796
528	891	793
529	895	794
530	897	792
531	898	790
532	899	788
533	902	787
534	904	785
535	905	783
536	906	781
537	909	781
538	911	779
539	912	777
540	914	775
541	914	773
542	915	770
543	916	768
544	917	765
545	917	763
546	919	761
547	920	759
548	921	756
549	927	758
550	928	756
551	930	754
552	931	752
553	932	750
554	932	748
555	933	745
556	934	743
557	935	740
558	939	740
559	940	738
560	941	736
561	941	734
562	942	731
563	943	729
564	945	727
565	946	725
566	947	723
567	947	720
568	948	718
569	949	716
570	954	716
571	955	714
572	956	712
573	956	710
574	957	708
575	959	706
576	960	704
577	961	702
578	962	699
579	963	697
580	969	699
581	970	697
582	973	696
583	975	694
584	976	692
585	977	690
586	977	688
587	978	685
588	980	683
589	984	684
590	985	682
591	986	679
592	986	677
593	989	676
594	990	673
595	991	671
